-3.200000000000001177e-01 6.400000000000010125e-01 1.199999999999999956e+00 1.800000000000000044e+00 -6.400000000000001243e-01 6.399999999999996803e-01
-3.219273645035404252e-01 9.038930765883463891e-01 1.248245903371272947e+00 1.608484286625653459e+00 -1.338447439674800954e+00 6.438547290070824047e-01
-3.053684537874143956e-01 1.115633365052213222e+00 1.387164445504817989e+00 1.382908664765096329e+00 -1.978817480877504753e+00 6.107369075748287912e-01
-2.733333333333333171e-01 1.247076581449591437e+00 1.599999999999999201e+00 1.143153532995458965e+00 -2.546666666666666856e+00 5.466666666666668561e-01
-2.306362157391447232e-01 1.278114646005911403e+00 1.861081457866455402e+00 9.061722761683006500e-01 -3.032422870224445788e+00 4.612724314782896684e-01
-1.832859211145564382e-01 1.199230272609151493e+00 2.138918542133544598e+00 6.843099759899109458e-01 -3.430749614705024264e+00 3.665718422291126544e-01
-1.377350269189627774e-01 1.012820323027550984e+00 2.400000000000001243e+00 4.843078061834695802e-01 -3.739571668975680385e+00 2.754700538379246666e-01
-1.000790638200240723e-01 7.331229794776595865e-01 2.612835554495180901e+00 3.070982053366648201e-01 -3.958928610783678970e+00 2.001581276400496989e-01
-7.530303087506862170e-02 3.847509483673708930e-01 2.751754096628727275e+00 1.483970510041537350e-01 -4.089837073798971545e+00 1.506060617501363552e-01
-6.666666666666676289e-02 1.371604415045035760e-16 2.800000000000000711e+00 5.143516556418881942e-17 -4.133333333333332860e+00 1.333333333333319715e-01
